@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
-1+1-1+1+1-1+1+1-1+1-1+1,99345,4115,1530.22785902,noise,35,15
-1+1-1+1-1+1-1-1+1+1-1+1,8667,525,191.883641958,noise,42,8
-1+1-1+1+1-1+1-1-1+1-1+1,797,48,1500.17355299,noise,25,25
-1+1-1+1-1-1+1-1+1-1-1+1,66959,3073,1297.88467598,noise,43,7
-1+1-1-1+1-1+1-1+1-1+1+1,37029,2628,789.105527878,noise,42,8
-1+1-1-1+1-1+1+1-1+1+1-1+1,30214,1746,435.307972908,noise,41,9
-1+1-1+1+1-1+1-1-1+1-1+1,18509,1053,602.315698862,noise,39,11
-1+1-1-1+1-1+1-1+1-1+1,14580,978,662.310893059,noise,42,8
-1+1-1+1-1+1-1-1-1+1-1-1+1,59259,2457,1491.47279692,noise,45,5
-1+1-1+1+1-1+1+1-1-1+1-1+1,56287,2974,640.975046873,noise,40,10
-1+1-1-1+1+1-1+1+1-1-1+1-1+1+1,32147,2531,2048.94547701,noise,43,7
-1+1-1-1+1-1+1-1+1-1-1+1-1,11341,1325,425.852889061,noise,42,8
-1+1-1+1-1+1+1-1+1-1+1,79962,3212,628.007539988,noise,41,9
-1+1-1+1-1-1+1-1+1-1+1,30827,1756,3171.83428788,noise,45,5
-1+1-1+1-1-1-1+1-1+1-1+1,1142,111,835.854290962,noise,41,9
-1+1-1-1+1-1-1+1-1-1+1-1-1+1+1,4456,410,855.250813961,noise,45,5
-1+1-1-1+1-1+1-1+1+1-1+1,6464,603,578.163979053,noise,41,9
-1+1-1+1-1+1-1+1-1+1,96226,3713,984.663742781,noise,45,5
-1+1-1+1-1-1+1-1-1+1-1-1+1,10020,804,596.609414101,noise,41,9
-1+1+1-1+1-1+1-1+1-1+1,26897,1625,801.593421936,noise,41,9
-1+1+1-1-1+1+1-1+1-1+1-1-1+1,13817,1452,693.569349051,noise,40,10
-1+1-1+1-1-1+1-1-1+1-1+1-1,11220,660,673.955103159,noise,39,11
-1+1-1+1-1+1-1+1-1+1,20252,1375,841.3338871,noise,30,20
-1+1-1+1+1-1+1-1-1+1-1+1-1,28742,2390,1208.49060583,noise,45,5
-1+1-1-1+1-1+1-1+1-1-1+1+1+1,118,12,1405.40302587,noise,44,6
-1+1-1-1+1-1-1+1+1-1+1+1-1+1,29967,1901,789.371916056,noise,37,13
-1+1-1+1+1-1+1-1-1+1+1-1-1+1,71732,3441,588.51434207,noise,45,5
-1+1-1+1-1+1-1+1-1-1+1-1,19931,1031,1485.36874199,noise,41,9
-1+1-1+1-1+1-1-1+1-1+1+1,45499,2466,672.015614986,noise,45,5
-1+1+1-1+1-1+1+1-1+1-1+1,196,89,114.289600134,noise,25,25
