@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
 -1+1-1+1-1+1-1+1-1+1,15954,1447,432.932653904,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,18179,1062,457.081745863,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,14955,746,343.254395008,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,5568,598,261.075577974,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,56619,2457,611.989680052,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,20135,1169,679.413946867,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,43722,2024,1288.82656598,noise,38,12
 -1+1-1+1-1+1-1+1-1+1,1365,177,172.617197037,noise,38,12
 -1+1-1+1-1+1-1+1-1+1,381507,11625,575.061538935,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,375,35,190.475697041,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,65887,2857,625.209553003,noise,36,14
 -1+1-1+1-1+1-1+1-1-1,75299,2917,968.768307209,noise,36,14
 -1+1-1+1-1+1-1+1+1+1,19998,1697,602.6775949,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,43763,3007,838.61281395,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,14110,1083,508.327630997,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,10552,646,685.609428167,noise,38,12
 -1+1-1+1-1+1-1+1+1+1,204551,6577,404.204831123,noise,46,4
 -1+1-1+1-1+1-1-1+1+1,12250,1102,530.677624941,noise,45,5
 -1+1-1+1-1+1-1+1+1+1,97637,4028,1664.25738311,noise,40,10
 -1+1-1+1-1+1-1+1-1+1,57430,3287,712.093408823,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,4069,220,93.5972678661,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,40129,2932,1115.82848406,noise,34,16
 -1+1-1+1-1+1-1+1-1-1,4,6,929.006207943,noise,4,6
 -1+1-1+1-1+1-1+1-1+1,11345,872,606.80454278,noise,27,23
 -1+1-1+1-1+1-1+1+1+1,1112025,33484,1108.58194685,noise,37,13
 -1+1-1+1-1+1-1+1+1+1,25087,2017,1197.99749184,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,378024,11374,892.264569998,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,13939,1197,984.375256062,noise,41,9
 -1+1-1+1-1+1-1+1+1-1,10213,907,1195.16468191,noise,38,12
 -1+1-1+1-1+1-1+1-1-1,7387,321,109.589415073,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,27842,2031,646.679790974,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,15158,888,777.775959969,noise,31,19
 -1+1-1+1-1+1-1+1-1+1,3071,276,772.476139069,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,7215,734,1005.75832891,noise,41,9
 -1+1-1+1-1+1-1+1-1-1,12812,1201,741.779504061,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,2928,204,1895.88085914,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,1933,158,468.811623812,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,3913,301,761.191607952,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,2637,182,252.321877956,noise,41,9
